,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Boarded,predicted_survival
1206,,3,female,17.0,0,0,7.7333,Queenstown,1
1207,,1,male,57.0,1,0,146.5208,Cherbourg,0
1208,,2,male,19.0,0,0,10.5,Southampton,0
1209,,3,male,27.0,0,0,7.8542,Southampton,0
1210,,2,male,22.0,2,0,31.5,Southampton,0
1211,,3,male,26.0,0,0,7.775,Southampton,0
1212,,3,male,25.0,0,0,7.2292,Cherbourg,0
1213,,2,male,26.0,0,0,13.0,Southampton,0
1214,,1,male,33.0,0,0,26.55,Southampton,1
1215,,1,female,39.0,0,0,211.3375,Southampton,1
1216,,3,male,23.0,0,0,7.05,Southampton,0
1217,,2,female,12.0,2,1,39.0,Southampton,1
1218,,1,male,46.0,0,0,79.2,Cherbourg,0
1219,,2,male,29.0,1,0,26.0,Southampton,0
1220,,2,male,21.0,0,0,13.0,Southampton,0
1221,,2,female,48.0,0,2,36.75,Southampton,1
1222,,1,male,39.0,0,0,29.7,Cherbourg,1
1224,,3,female,19.0,1,1,15.7417,Cherbourg,1
1225,,3,male,27.0,0,0,7.8958,Southampton,0
1226,,1,male,30.0,0,0,26.0,Southampton,1
1227,,2,male,32.0,0,0,13.0,Southampton,0
1229,,2,male,25.0,0,0,31.5,Southampton,0
1231,,2,male,18.0,0,0,10.5,Southampton,0
1232,,3,male,32.0,0,0,7.5792,Southampton,0
1234,,1,female,58.0,0,1,512.3292,Cherbourg,1
1236,,3,female,16.0,0,0,7.65,Southampton,1
1237,,2,male,26.0,0,0,13.0,Southampton,0
1238,,3,female,38.0,0,0,7.2292,Cherbourg,1
1239,,2,male,24.0,0,0,13.5,Southampton,0
1240,,2,female,31.0,0,0,21.0,Southampton,1
1241,,1,female,45.0,0,1,63.3583,Cherbourg,1
1242,,2,male,25.0,0,0,10.5,Southampton,0
1243,,2,male,18.0,0,0,73.5,Southampton,0
1244,,2,male,49.0,1,2,65.0,Southampton,0
1245,,3,female,0.17,1,2,20.575,Southampton,1
1246,,1,male,50.0,0,0,26.0,Southampton,0
1247,,1,female,59.0,2,0,51.4792,Southampton,1
1250,,3,female,30.0,1,0,15.55,Southampton,0
1251,,3,male,14.5,8,2,69.55,Southampton,0
1252,,2,female,24.0,1,1,37.0042,Cherbourg,1
1253,,2,female,31.0,0,0,21.0,Southampton,1
1254,,3,male,27.0,0,0,8.6625,Southampton,0
1255,,1,female,25.0,1,0,55.4417,Cherbourg,1
1258,,3,female,22.0,0,0,39.6875,Southampton,1
1259,,1,female,45.0,0,1,59.4,Cherbourg,1
1260,,2,male,29.0,0,0,13.8583,Cherbourg,0
1261,,2,male,21.0,1,0,11.5,Southampton,0
1262,,1,female,31.0,0,0,134.5,Cherbourg,1
1263,,1,male,49.0,0,0,0.0,Southampton,0
1264,,2,male,44.0,0,0,13.0,Southampton,0
1265,,1,female,54.0,1,1,81.8583,Southampton,1
1266,,1,female,45.0,0,0,262.375,Cherbourg,1
1267,,3,female,22.0,2,0,8.6625,Southampton,0
1268,,2,male,21.0,0,0,11.5,Southampton,0
1269,,1,male,55.0,0,0,50.0,Southampton,0
1270,,3,male,5.0,4,2,31.3875,Southampton,0
1272,,3,male,26.0,0,0,7.8792,Queenstown,0
1274,,3,female,19.0,1,0,16.1,Southampton,1
1276,,2,female,24.0,1,2,65.0,Southampton,1
1277,,3,male,24.0,0,0,7.775,Southampton,0
1278,,2,male,57.0,0,0,13.0,Southampton,0
1279,,3,male,21.0,0,0,7.75,Queenstown,0
1280,,3,male,6.0,3,1,21.075,Southampton,0
1281,,1,male,23.0,0,0,93.5,Southampton,1
1282,,1,female,51.0,0,1,39.4,Cherbourg,1
1283,,3,male,13.0,0,2,20.25,Southampton,0
1284,,2,male,47.0,0,0,10.5,Southampton,0
1285,,3,male,29.0,3,1,22.025,Southampton,0
1286,,1,female,18.0,1,0,60.0,Cherbourg,1
1287,,3,male,24.0,0,0,7.25,Queenstown,0
1288,,1,female,48.0,1,1,79.2,Cherbourg,1
1289,,3,male,22.0,0,0,7.775,Southampton,0
1290,,3,male,31.0,0,0,7.7333,Queenstown,0
1291,,1,female,30.0,0,0,164.8667,Southampton,1
1292,,2,male,38.0,1,0,21.0,Southampton,0
1293,,1,female,22.0,0,1,59.4,Cherbourg,1
1294,,1,male,17.0,0,0,47.1,Southampton,1
1295,,1,male,43.0,1,0,27.7208,Southampton,0
1296,,2,male,20.0,0,0,13.8625,Cherbourg,0
1297,,2,male,23.0,1,0,10.5,Southampton,0
1298,,1,male,50.0,1,1,211.5,Southampton,0
1300,,3,female,3.0,1,1,13.775,Southampton,1
1302,,1,female,37.0,1,0,90.0,Southampton,1
1303,,3,female,28.0,0,0,7.775,Southampton,1
1305,,1,female,39.0,0,0,108.9,Cherbourg,1
1306,,3,male,38.5,0,0,7.25,Southampton,0
